,Open,Adj Close,High,Low,Volume,Date,RSI,MACD,Symbols,post utility
0,11.505,12.89,14.414,11.5,93857400.0,2022-03-24,0.0,0.0,AFKS,0.0
1,13.1,12.603,13.299,12.603,31222800.0,2022-03-25,0.0,-0.0228945868945871,AFKS,-390.3855896038359
2,12.661,11.65,12.698,11.4,20587500.0,2022-03-28,0.0,-0.1165938263488097,AFKS,121.62214806203114
3,11.65,11.54,12.4,11.3,31094600.0,2022-03-29,0.0,-0.1974511355924466,AFKS,-2341.1917335077496
4,12.2,12.5,12.69,11.71,27744600.0,2022-03-30,0.0,-0.1819695273292865,AFKS,-1943.4560406016772
5,12.888,13.909,14.0,12.75,78358600.0,2022-03-31,0.0,-0.0553674749598087,AFKS,-2262.319929066649
6,14.38,13.89,14.88,13.89,59304300.0,2022-04-01,0.0,0.0429374660699508,AFKS,1.9027067780441893
7,14.057,14.105,14.499,13.501,40030900.0,2022-04-04,0.0,0.1366186880611284,AFKS,-2384.472288192221
8,14.2,13.451,14.272,12.756,25206000.0,2022-04-05,0.0,0.1562878085606431,AFKS,-103.67013024444728
9,13.16,13.493,13.923,12.856,14170100.0,2022-04-06,0.0,0.1732674578572925,AFKS,-2.321707874880534
10,13.3,13.622,14.095,13.273,15927000.0,2022-04-07,0.0,0.1948866422594264,AFKS,-675.1726532575442
11,13.8,13.213,13.8,13.02,22484900.0,2022-04-08,0.0,0.1769770386740976,AFKS,-996.1951794030716
12,13.2,13.2,13.529,13.0,13809600.0,2022-04-11,0.0,0.1598914285867412,AFKS,-273.7990464202767
13,13.2,13.044,13.329,12.64,14647000.0,2022-04-12,51.43764002987304,0.1322386978506458,AFKS,0.0
14,13.2,13.2,13.694,13.05,29598400.0,2022-04-13,52.8120464441219,0.1215109037086836,AFKS,-410.81055646618904
15,13.26,12.534,13.264,12.5,18970500.0,2022-04-14,49.41436088949245,0.0585929920167327,AFKS,-669.4144443109601
16,12.535,12.668,12.7,12.1,11989000.0,2022-04-15,60.03548895899053,0.0193200641439315,AFKS,-750.0599789350687
17,12.74,12.1,12.84,12.028,14603400.0,2022-04-18,55.06329113924052,-0.0569800367722947,AFKS,371.5454070973808
18,12.155,12.143,12.299,11.657,18768700.0,2022-04-19,46.13050075872535,-0.1126797735383178,AFKS,25.947046271159557
19,12.175,12.4,12.589,11.75,19749000.0,2022-04-20,28.19994221323313,-0.1345336439557041,AFKS,-5.920984497222355
20,12.384,12.55,12.55,12.1,10888200.0,2022-04-21,31.347438752783944,-0.1381566632974653,AFKS,-2446.955139322975
21,12.5,12.3,12.539,12.123,7430800.0,2022-04-22,25.117176730079933,-0.1593637962484475,AFKS,-3604.1265447744054
22,12.193,12.179,12.193,11.624,18927400.0,2022-04-25,29.44408532643824,-0.1838153813667578,AFKS,-1769.050633454752
23,12.1,12.598,12.698,11.921,20706200.0,2022-04-26,37.10746182656294,-0.1674533425692299,AFKS,-424.58601472261086
24,12.461,12.587,13.7,12.453,46759600.0,2022-04-27,34.56606024455711,-0.1536032740803481,AFKS,119.03812347173492
25,12.742,12.5,13.349,12.38,43097700.0,2022-04-28,38.238205212801056,-0.1479417870981159,AFKS,-849.8010231970079
26,12.607,12.909,12.93,12.509,11319400.0,2022-04-29,45.7543040560257,-0.1091934222305752,AFKS,-361.6729113864137
27,12.897,12.6,13.137,12.589,9372400.0,2022-05-04,43.79888268156424,-0.1022402198730372,AFKS,-144.29681092184325
28,12.655,12.84,12.977,12.63,7336500.0,2022-05-05,45.0873362445415,-0.0764821243521964,AFKS,-2673.2964176384344
