,users,yields,followers
0,Melhior94,10.74,0
1,Trade_15let,7.92,2
2,blaaawka,4.44,24
3,Traktorist_III_klassa,63.58,11
4,rakolov,-52.28,373
5,Nabotov,62.11,4
6,Alim82,-8.18,5
7,Denis__Morozov,2.56,0
8,Ovepfunkep,0.0,0
9,liolia604,25.79,41
10,Ann_Blacksea,21.82,1
11,rkfljbcrfntkm,-1.44,1
12,gidravlic,-10.46,3
13,DmitriyPuls,-124.44,177
14,Machinka,0.0,11
15,Emvashdepo,117.51,10
16,cetronc,0.0,467
17,GetBackBrentTo100,-9.21,1199
18,Kohafe,-3.47,0
19,Ksycha777,1.39,41
20,vseema,-209.98,3
21,leki7,35.03,0
22,SergeyTkache,0.0,0
23,SRM6,-113.88,1
24,Lanc,-57.04,252
25,Evg.krs,90.8,17
26,Kaupibarya,16.18,0
27,booooooo,2.27,1
28,Diamond19,47.37,12
29,MoyPerviyMillion,4.02,1
30,Travel_and_Live,-61.91,7
31,ErrareHumanumEst,-47.24,17
32,CXG22,-3.34,0
33,PiratFX,19.52,0
34,energizzzzer,10.16,0
35,ALSANCHO,32.6,13
36,serjmat,7.22,0
37,korsean,-2.17,0
38,my_name_andrew,-11.86,0
39,knsv,8.39,0
40,ProstoyTrader,-31.08,36
41,Igor_46_,18.78,41
42,sweetlhare,-12.22,2
43,alex1823,19.08,6
44,Project_A,155.36,73
45,Pohmelye.AUF,4.48,0
46,Skroogee,22.86,11
47,skurd,44.28,6
48,RauiPauraui,0.46,0
49,tsvet,-38.3,3
50,14_Invest,3.63,127
51,Dr.Waclaw,-1.47,5
52,boss_babloss77,16.12,0
53,FinchZar,-1.65,0
54,Itormi,8.9,19
55,Zhukovka33,3.43,64
56,NachalnikUpravleniya,22.9,1
57,Basilio_n,13.51,0
58,SSV1,35.64,6
59,_No_Limit_,0.0,0
60,ytko1988,9.6,31
61,zeelT,10.86,0
62,Vargvard,40.58,3
63,Caty,42.38,0
64,Mawlikiev1981,1.97,0
65,mariya.456,0.0,0
66,iksi_neizbezni_2,0.0,0
67,Reiter88,0.0,0
68,qcorntts,24.3,5
69,BryceWayne,10.55,1
70,burjyiy,0.0,0
71,YourRoof,-27.12,0
72,NIvn,-38.31,0
73,AbdrakhmanovM,-7.9,269
74,qwerty40,5.12,5
75,hjvf,20.58,2
76,kosmichesky,17.12,16
77,Komikota,42.25,0
78,ErmakovichAnt,-10.9,12
79,Starcom88,11.46,1
80,SMLQV,23.42,8
81,Vladius7,98.05,27
82,vrayou,6.66,560
83,KingX,0.24,11
84,Augap,27.16,0
85,Alex_kry,105.96,2
86,Serega10.01.1983,12.33,0
87,Bogdanio,-20.37,5
88,Maksim7227,20.57,0
89,dimamib,35.96,1
90,AndreyChe,43.27,31
91,azykov1,-27.57,318
92,Chandler0071,-12.45,2
93,GS1905,116.57,28
94,Iserk,16.98,3
95,megainvestor,2.38,539
96,Mason13,15.29,81
97,lok82,-59.1,0
98,Dobro9999,-0.73,0
99,penthaus,1234.96,522
100,1c4,-32.89,1
101,_e.p.i.f.a.n.o.v_,0.0,0
102,FreeTrading,140.36,4692
103,Mallis,-1.2,0
104,dvb078,-30.79,1
105,Irbis73,0.0,0
106,NyBuffett,25.13,0
107,OMLUS,12.54,6
108,KatanainVest,-8.64,2
109,ChuJu,0.0,0
110,BriSingr,5.8,1
111,Trasher07,-201.1,15
112,chechenev,33.63,0
113,GoodMorning_,613.45,0
114,monkey_hero,-112.79,13
115,millerN,-122.41,14
116,ban_investor,20.94,0
117,Shuanka,2.62,1
118,ASEgorov23,-56.5,0
119,AlexDentist,109.06,7
120,Nzakharov,-2.38,0
121,Saifulla95,-1.94,3
122,plei1988,-79.49,2
123,79D,38.68,3
124,TuuZeeMuun,-47.57,1850
125,1nxx3xxn34,-23.06,0
126,VopopNavi,36.33,93
127,aleksandr2481,8.42,1
128,gapiyu,0.0,0
129,MR.Cube,0.0,10
130,anastasiia0312,-362.66,17
131,Dimcheh,-5.97,0
132,Jora_KorneFf,67.3,6
133,minusinez,0.0,0
134,davidich_86,0.3,0
135,Sonet02,-134.84,13
136,karkatuk,10.9,0
137,DinSaliman,7.55,0
138,GrafKir,-19.02,11
139,kristinauagydina,2.09,0
140,Darius,-103.13,21
141,Rina_Shitikova,-2.52,14
142,Baniyr1978,-8.87,0
143,zemiel,0.0,0
144,Anabiot,0.08,0
145,Smirnov1986,0.0,0
146,Hamster_trader,9.81,0
147,IgorJPDream,22.69,19
148,mvmaxmv,-36.14,0
149,gysara,1.15,7
150,Slewfoot,0.0,0
151,edward_capella,-45.64,5
152,777AAA,0.44,8
153,Ramzramz,-1.7,2
154,katepushka,8.52,19
155,Parti_Z_ano,-53.43,1
156,MomsFrendsSon,-1.13,1
157,SergioLuka,51.18,6
158,BAS61,-17.84,46
159,Farestmint,4.88,2
160,Feduk_struk,20.32,0
161,RBaxye,-1.99,0
162,zema480,0.0,0
163,_elvira_,-126.49,10
164,RoMaN12339,-39.43,123
165,vu_kubik,29.24,2
166,chtozh,2.11,5
167,DMI2011,30.43,41
168,Marcussoorf,11.5,74
169,DimDimih2023,30.72,18
170,Bingobom4ik,5.15,0
171,crywe61,-69.03,0
172,dmos547,-183.26,4
173,Mama_drakonov,6.54,5
174,MaximilianAiman,8.96,2
175,owldy,31.5,51
176,Schindler_trader,-2.09,83
177,AnnieMayer,29.79,3
178,Grechka20,23.31,3
179,INVESTOSAMKA90,2.9,2
180,Spleent,-0.78,0
181,AZRorian,0.0,0
182,Kenmay,15.5,1
183,kamil_yangelbiev,0.0,1
184,Konstrukt_kod,19.63,2
185,Sailing_Man,-15.95,8
186,Terra19,0.1,2
187,Artyom_S,3.31,4
188,alex17478,52.71,0
189,SadInvestoor,-1.33,0
190,Tialas555,89.2,135
191,toshiik,0.98,0
192,zeford,-1.95,2
193,Sekretiks,-29.38,1
194,new_achievements,6.96,2
195,Rumitey,25.16,12
196,anti01,-19.32,1
197,GulayiRvanina,7.21,1
198,GroveX,17.36,1
199,LeninArmy,-14.65,3
200,Desertwind,81.31,30
201,Glad_os,17.14,0
202,Funmain,-67.34,1
203,NordIce,-0.33,1
204,OldSalat,-1.12,0
205,Lev_Ave_Vest,-297.55,174
206,Exilencer,26.95,8
207,Tuton,6.31,1
208,turbofan,-6.75,2
209,Vse_B_BDO,0.0,0
210,yungvadik,0.0,0
211,TakeGlobal,-13.26,33
212,RimskiyMarazmatik,5.91,1
213,ilya_e,49.94,0
214,Bullfight,7.99,16
215,sudden07,59.93,1465
216,ArcticHorse,14.96,19
217,limeks,3.15,0
218,Doona,-73.99,0
219,Fellix_ahati,18.35,25
220,For3hybrid,-9.64,0
221,zarr1989,11.77,64
222,Evgeni_Fid,-129.09,9
223,mr7777,20.13,1
224,Intelmoney,42.15,16
225,serezhenkafedorov1,17.19,5
226,Takanuva47,19.58,5
227,neegan,-1.53,2
228,Arsenike,6.56,2
229,AlexShulz,27.15,4872
230,Agft352,-99.84,4
231,ShtifCapital,26.92,106
232,EnotRaketa247,64.74,1458
233,Mr_Vovan77,-612.86,99
234,romash911,-5.12,0
235,SpaseInv,-14.72,2
236,keonqck,1.44,1
237,Scouser84,9.92,0
238,Robert_mon,-226.01,4
239,beggar01,0.01,2
240,costablk,0.0,0
241,Konstantin_Khabarovsk,112.58,5
242,84Sergo84_27rus,-1.5,11
243,MarkRemedy,2.33,2
244,Dr.erta,32.07,7
245,di_pirova,-2.08,1
246,Pizhenkov,0.7,104
247,merimar,10.27,0
248,ILNUR9,30.32,0
249,Volrotmistr,3.02,0
250,Jonsontower,29.15,17
251,Rocklobster,0.0,0
252,OlgaTuretsky,-22.95,6
253,Oksana549,-11.25,12
254,Qco,42.36,0
255,Goliaf1986,0.0,0
256,ka8,0.0,1
257,Buhlobus,4.73,1
258,ilidor,23.89,480
259,amadkm,56.41,0
260,Dengiyatut,23.71,20
261,SergeyStereo,9.18,2
262,Bless_rng,-34.43,0
263,yreshka,14.05,4
264,ali24sa,1.17,0
265,SergeyOnline,21.78,0
266,Gegovit,5.84,16
267,LuckyKrizis,1.57,27
268,Anb1973,-2.77,1
269,kolymba_2012,35.15,0
270,r2v,7.3,1
271,AdekAlone,8.63,1
272,denis1,-22.02,2
273,hydromoll,-2.97,5
274,RomanSuv34,-7.03,2
275,iarrowned,-5.12,2
276,ALEXANDR1968,-5.75,0
277,Rocket754,12.96,1
278,SergeyMars,22.11,418
279,HeaDekBallla,-64.08,41
280,plushka_rei,0.0,0
281,dimka23i,10.89,2
282,soldat80,24.57,0
283,Bartem1us,7.05,0
284,BlackRieltor,0.17,0
285,SkoDaa,41.81,0
286,Ermack_art,61.47,1
287,SuperSkunk,-1.2,0
288,Rochev54,8.27,0
289,botaem_dengi,53.57,11
290,CTO_U3_CTA,-79.1,1
291,i1ysh,46.23,0
292,RICH_CLUB_,14.87,5
293,kentizyar,0.0,0
294,TheLacars,1.24,43
295,Lazaretto,198.16,163
296,eqwipe,37.95,0
297,Hum777,-1.26,11
298,Viachesl0ve,19.79,1
299,bigboyer,0.75,5
300,tochnoblitzkrang,-134.13,0
301,SeWlad,-21.85,3
302,SkyDarkhard,-90.39,2
303,krasavc,5.55,0
304,NikodeiN_LanRow,12.09,25
305,niceteam,2.21,3
306,LeZHiBoKa1,39.01,2
307,Lord_evil,10.09,4
308,bmd,-30.67,4
309,EvgenJe,2.39,5
310,Ludoman_1,-89.48,22
311,DevilMySelf,12.94,1
312,BavarskayaGorchica,-66.98,16
313,pytachek,-3.35,1
314,DMS_999,-18.04,2
315,InvestFit,0.0,2703
316,JamesMitchell,0.0,0
317,kirdro,11.32,1
318,Ventura_Ace,0.0,0
319,eciner,-146.08,3
320,elvis199Weryukfsdghtr1234,-0.04,0
321,Greenlight7,-24.42,9
322,So4iN,39.13,2
323,Raketos.ru,16.59,1
324,VikingP,-343.07,3
325,Yanaky,16.88,1
326,Jakosnik,-6.29,0
327,Darklander,5.79,4
328,delaytakk,0.0,0
329,ewga_enot,0.0,0
330,brbeau,-26.74,0
331,VrodeNorm,26.15,1
332,darianika,10.79,6
333,ValTa17,-108.69,17
334,FinGuru_Anastasia,14.0,15
335,GrandmasterBeat,63.57,7
336,_Margin_Call_,32.18,2
337,CreatorMilon,12.98,9
338,imooney,15.68,2
339,manchkin81,16.76,0
340,AmitaUS,48.56,0
341,stells88,-171.16,24
342,GeniusLCD,2.63,0
343,Blurssself,34.64,3
344,Rezan_Invest,10.81,6968
345,StasyaMilkes,1.38,35
346,luckyspce,-72.3,5
347,Slivayoucapital,-21.57,0
348,Gold_fish08,37.35,5
349,Neverget,-29.86,3
350,warndum,0.0,0
351,Scykokot,33.02,118
352,Dimon3838,43.17,1
353,MilaLisonka,85.5,78
354,Muyassarov56,8.09,2
355,Pavel546,-46.53,1
356,Vikushasml,1.39,0
357,Katerina69q,53.55,1
358,Eliks024,39.74,2
359,dva_procenta,-12.35,0
360,Carl_Boo,21.55,2
361,Vladimir1681,-87.55,2
362,1986kirill,6.57,4
363,Bat_Oxa,0.74,12
364,three_axe,17.61,4
365,inslnt,10.88,0
366,BORR,24.56,21
367,Vitalikaff,17.04,1
368,Mishel1k,49.55,49
369,RinaNina,18.89,0
370,1lllwlll,1.33,3
371,Anvil178,-8.22,1
372,AlexanderT73,27.55,0
373,gr_om,24.14,2
374,ValeriMax,35.71,5
375,Selena2054,3.93,0
376,Y_d_ze__da,12.18,0
377,RAMBO777,2.56,8
378,cooper_vsadnik,21.68,2458
379,zebalex,42.69,10
380,VAD1979,-48.37,14
381,makxee,-80.59,0
382,KaPrAl152ru,3.42,0
383,KPOHOC509,73.56,10
384,carikat,36.38,0
385,Donald.Dumb,-28.72,19
386,bocc234,-26.1,9
387,Ratollll,-8.05,0
388,salpro,-10.57,1
389,Ninel00,36.39,0
390,Billibob,21.49,15
391,gademyan,305.64,87
392,Danil_Vt4m,9.57,1
393,Gambit_Man,104.16,78
394,Sergant1988,17.84,0
395,babagee,50.25,0
396,AmigoOpossum,13.8,1
397,Alena_Lucky,-132.55,1
398,Adil29,27.22,8
399,Brazers,22.25,11
400,ruhail,42.47,0
401,Nick_Wil,-80.18,7
402,Oksana2022,184.56,2
403,Dmitryi1984,64.69,8
404,BigDaddy205,35.51,33830
405,Danilka1488,-11.22,1
406,bio45,116.86,1
407,K18VO,5.3,0
408,SaintRover,8.35,6
409,Kirill_241,0.02,0
410,petrolka78,0.0,0
411,ProSSto14,69.36,0
412,VladimirDont,14.65,2
413,vitalik1983i,0.0,0
414,Vohan777,-0.44,0
415,Sogi7,32.09,4
416,Mr.GOST,-9.36,1
417,Baton047,-5.85,11
418,Mahounis,5.11,0
419,hpokalka,22.81,61
420,shkribliugli,57.14,0
421,SvetSvet1,29.82,46
422,YAN18rus,4.81,0
423,Kepler60rus,0.0,2
424,Olka585,91.87,0
425,Ruz01,-288.78,16
426,ArtemiyBIG,-6.25,3
427,TUDA_SUDA,105.95,195
428,Lumenn,56.56,6
429,QjuniorQ,18.08,0
430,bolshiemashini,-38.33,21
431,Christina_ria,121.91,46
432,Chulc,-120.14,38
433,Victor_MGN,31.31,13
434,Sevesta87,2.19,0
435,kalashnikovaalla,0.0,0
436,AlesValerievich,54.63,1
437,BlackPanther_,0.0,0
438,MACTEPcXAPAKTEPOM,-65.3,27
439,Paul1974,97.39,16
440,dzergun,39.32,15
441,BankingLab.ru,-29.65,3
442,PetyaKamushkin,7.0,14
443,Busii,22.13,3
444,cepega1818,46.5,0
445,Lemon_Invest,9.82,87
446,Evg_5,0.0,0
447,andreus72,23.75,0
448,Ierih0n,93.73,14
449,Observer4,4.88,1
450,ICG,39.28,1023
451,michaell23,0.0,0
452,Aidarov888,36.46,17
453,Sabina1990,6.7,0
454,Goodwin272,25.83,0
